ISSUER,ID_SURA,NEMOTECNICO,CARTERA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,NOMINAL,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD
BANCO SANTANDER RIO SA,ON BCO.SANTANDER RIO CL.17 V.2,52261,53811008,B+2.77%,2020-02-22,ARS,Banks,50000000,102.809,102.809,51404500,51404500,2552333.14465596,25.043,1.416
BANCO SANTANDER RIO SA,ON BCO.SANTANDER RIO CL.19 V.3,BNCKO,53811008,B+2.47%,2020-03-30,ARS,Banks,80000000,100.318,100.318,80254400,80254400,3984786.64561424,33.369,1.266
REPUBLIC OF ARGENTINA,BONO NACION ARG. $ BADLAR+200,AA22P,53811008,B+2%,2022-04-03,ARS,Sovereign,70000000,102.5,102.5,71750000,71750000,3562526.6879177,28.45,2.106
REPUBLIC OF ARGENTINA,BONO REP. ARGENTINA USD 5.625%,A2E2,53811008,5.625%,2022-01-26,USD,Sovereign,3000000,20.65,20.65,619500,12476853.9,619500,63.796,2.133
ARCOR SAIC,O.N. ARCOR S.A.I.C. CL.11 V.03,RCCBO,53811008,B+2.99%,2021-05-03,ARS,Food,82000000,104.175,104.175,85423500,85423500,4241442.48815801,28.384,1.826
BANCO HIPOTECARIO SA,ON BCO.HIPOTECARIO CL.43 V.08/,BH43O,53811008,2.75%,2020-05-08,ARS,Banks,3276500,2140.694,2140.694,70139838.91,70139838.91,3482579.06624562,0,2.051
BCO.PATAGONIA SA              ,PF$PAT-271118,PF$PAT-271118,100303969,26.9%,2018-11-27,ARS,Banks,        5000000.00,108.918,108.918,5445900,5445900,270399.499508446,25.682,0.532
BANCO DE GALICIA Y BS AS      ,PF$GAL-171218,PF$GAL-171218,100303969,27.75%,2018-12-17,ARS,Banks,        5000000.00,107.451,107.451,5372550,5372550,266757.529716686,26.716,0.571
BANCO DE GALICIA Y BS AS      ,PF$GAL-271218,PF$GAL-271218,100303969,27.75%,2018-12-27,ARS,Banks,        2700000.00,106.918,106.918,2886786,2886786,143334.524979891,26.762,0.592
BBVA BANCO FRANCES SA         ,PF$FRA-100119,PF$FRA-100119,100303969,27.25%,2019-01-10,ARS,Banks,       40710721.55,105.375,105.375,42898922.8333125,42898922.8333125,2130014.73834979,26.533,0.624
STANDARD BANK ARGENTINA SA    ,PF$ICB-270219,PF$ICB-270219,100303969,26.25%,2019-02-27,ARS,Banks,       15000000.00,101.942,101.942,15291300,15291300,759242.708612625,25.996,0.731
BCO.PATAGONIA SA              ,PF$PAT-250618,PF$PAT-250618,100607320,1.9%,2018-06-25,USD,Banks,        1400000.00,100.005,100.005,1400070,28197689.814,1400070,1.916,0.239
BANCO ITAU ARGENTINA SA       ,PF$ITA-190319,PF$ITA-190319,53811008,25.9%,2019-03-19,ARS,Banks,       65000000.00,100.426,100.426,65276900,65276900,3241124.71574264,25.865,0.775
BBVA BANCO FRANCES SA         ,PF$FRA-121118,PF$FRA-121118,53811008,27%,2018-11-12,ARS,Banks,       40000000.00,109.764,109.764,43905600,43905600,2179998.21253016,25.704,0.499
BBVA BANCO FRANCES SA         ,PF$FRA-121118,PF$FRA-121118,53811008,27%,2018-11-12,ARS,Banks,       40000000.00,109.764,109.764,43905600,43905600,2179998.21253016,25.704,0.499
BCO.PATAGONIA SA              ,PF$PAT-100518,PF$PAT-100518,53811008,22.25%,2018-05-10,ARS,Banks,        8333000.00,119.202,119.202,9933102.66,9933102.66,493197.816307683,20.28,0.098
BCO.PATAGONIA SA              ,PF$PAT-140518,PF$PAT-140518,53811008,26.8%,2018-05-14,ARS,Banks,       60973000.00,109.765,109.765,66927013.45,66927013.45,3323056.04959236,27.176,0.101
BCO.PATAGONIA SA              ,PF$PAT-281118,PF$PAT-281118,53811008,26.9%,2018-11-28,ARS,Banks,       13880000.00,108.844,108.844,15107547.2,15107547.2,750119.025630331,25.692,0.534
BCO.PATAGONIA SA              ,PF$PAT-250618,PF$PAT-250618,53811008,1.9%,2018-06-25,USD,Banks,         430000.00,100.005,100.005,430021.5,8660719.0143,430021.5,1.916,0.239
BCO.SANTANDER RIO SA          ,PF$SAN-140119,PF$SAN-140119,53811008,27%,2019-01-14,ARS,Banks,       16100000.00,105.104,105.104,16921744,16921744,840197.416113048,26.318,0.633
BCO.SANTANDER RIO SA          ,PF$SAN-210119,PF$SAN-210119,53811008,26.8%,2019-01-21,ARS,Banks,       22000000.00,104.479,104.479,22985380,22985380,1141268.70636836,26.216,0.649
BCO.SUPERVIELLE SA            ,PF$SUP-190918,PF$SUP-190918,53811008,25.5%,2018-09-19,ARS,Banks,       40000000.00,100.349,100.349,40139600,40139600,1993009.0068619,27.097,0.377
STANDARD BANK ARGENTINA SA    ,PF$ICB-270319,PF$ICB-270319,53811008,26.25%,2019-03-27,ARS,Banks,       60000000.00,101.942,101.942,61165200,61165200,3036970.8344505,25.759,0.793
STANDARD BANK ARGENTINA SA    ,PF$ICB-230418,PF$ICB-230418,53811008,23%,2018-04-23,ARS,Banks,       10908532.32,100.441,100.441,10956638.9475312,10956638.9475312,544018.378542974,25.5,0.057
Lombard Renta en Pesos Fondo C,Lombard Renta en Pesos,,,,,ARS,Government/Corporate,33161156,7.896306,,261850635.089736,261850635.089736,13001391.9965907,,
Lombard Renta Fija en Dolares,Lombard Renta Fija en Dolares,,,,,USD,Unclassified,848879,1.041191,,883845.174889,17800818.5912994,883845.174889,,
Goal Capital Plus Fondo Comun,Goal Capital Plus Pesos B,,,,,ARS,Govt/Corp Short Term,71574.52,6.961423,,498260.50974196,498260.50974196,24739.6008848949,,
Lombard Capital Fondo Comun de,Fondo Lombard Capital,,,,,ARS,Govt/Corp Short Term,0,6.256656,,0,0,0,,
Fondo Comun de Inversion Fima,Fima Ahorro Plus C $,,,,,ARS,Geo Focus-Debt,7826,4.196551,,32842.208126,32842.208126,1630.67934409787,,
HF Pesos Plus Fondo Comun de I,HF Pesos Plus Clase I,,,,,ARS,Govt/Corp Intermediate,0,7.126357,,0,0,0,,
Optimum Renta Fija Argentina F,OPTIMUM RENTA FIJA ARGENTINA Unico,,,,,ARS,Govt/Corp Intermediate,3223,4.284062,,13807.531826,13807.531826,685.570740409728,,
Fondo Comun de Inversion Gainv,Gainvest Infraestructura - Clase A,,,,,ARS,Flexible Portfolio,19203.01,3.473966,,66710.60383766,66710.60383766,3312.31089252639,,
Gainvest PYMEs Fondo Comun de,Gainvest PYMES - Clase B,,,,,ARS,Flexible Portfolio,14503144.03,3.25805,,47251968.4069415,47251968.4069415,2346151.8955592,,
Premier Abierto Pymes Fondo Co,Premier Abierto Pymes - Clase A,,,,,ARS,Flexible Portfolio,7424458.87,3.403272,,25267452.9874226,25267452.9874226,1254578.05719023,,
Schroder Desarrollo y Crecimie,Schroder Desarrollo y Crecimiento Clase A,,,,,ARS,Geo Focused-Asset Alloc,166841064.67,0.352316,,58780776.5402757,58780776.5402757,2918579.58412904,,
