ISSUER,ID_SURA,NEMOTECNICO,CARTERA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,NOMINAL,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD
GPAT CIA FINANCIERA SA,ON GPAT CIA.FIN.28 CL.B. V.27/,GPUBO,53811008,B+3.97%,2020-06-27,ARS,Diversified Finan Serv,24666666,1.071,1.07146,26429345.95236,26429345.95236,716601.709593156,42.283,1.159
GPAT CIA FINANCIERA SA,ON GPAT C FIN 30 CL B 5/10/18,GPWBO,53811008,B+4.17%,2020-10-05,ARS,Diversified Finan Serv,10000000,1.064,1.06373,10637300,10637300,288418.312704201,42.836,1.271
HSBC BANK ARGENTINA SA,ON HSBC ARG. CL. 7 V.07/12/20,HSC7O,53811008,27.171%,2020-12-07,ARS,Banks,50000000,0.921,0.92126,46063000,46063000,1248945.94851077,36.72,1.43
BANCO SANTANDER RIO SA,ON SANTANDER C.21 26/01/22 $CG,BNCMO,53811008,B+3.08%,2022-01-26,ARS,Banks,11000000,0.862,0.86183,9480130,9480130,257042.961918577,53.032,1.527
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,53811008,25.577%,2020-02-01,ARS,Diversified Finan Serv,15000000,1.043,1.0429,15643500,15643500,424155.742038691,23.683,1.148
REPUBLIC OF ARGENTINA,BONO NACION ARG. ARS 08/02/19,AF19,53811008,3.75%,2019-02-08,ARS,Sovereign,96000000,1.175,1.175,112800000,112800000,3058443.93530632,0,0.439
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,53811008,26.413%,2020-02-14,ARS,Banks,15000000,0.892,0.8917,13375500,13375500,362661.496956469,37.48,1.121
REPUBLIC OF ARGENTINA,BONO NACION ARG $ V.06/03/20,A2M2P,53811008,4%,2020-03-06,ARS,Sovereign,120000000,1.05,1.05,126000000,126000000,3416346.94901238,1.938,1.446
HSBC BANK ARGENTINA SA,ON HSBC BANK ARG C 9 $ 27/3/21,HSC9O,53811008,A+2.65%,2021-03-27,ARS,Banks,100000000,0.947,0.9471,94710000,94710000,2567954.12334097,54.78,1.212
TARJETA NARANJA SA,ON TARJETA NARANJA CL.40 S2,T4020,53811008,B+3.69%,2020-10-10,ARS,Diversified Finan Serv,28000000,0.806,0.80613,22571640,22571640,612004.392446077,70.434,0.988
ARGENT LETRAS DEL TESORO,LT DEL TESORO $ 182D 12/10/18,LTPO8,53811008,0%,2018-10-12,ARS,Sovereign,11249000,1.06,1.06,11923940,11923940,323304.095549259,0,0.117
GPAT CIA FINANCIERA SA,ON GPAT CIA. FIN. S32 Cl.A,GPYAO,53811008,25.75%,2019-10-25,ARS,Diversified Finan Serv,17000000,0.835,0.83485,14192450,14192450,384812.168702466,58.866,0.736
BCO DE GALICIA Y BUENOS,ON BCO.GALICIA BS.AS. 5 S2 V.2,BY52O,53811008,B+3.5%,2021-04-26,ARS,Banks,60000000,0.886,0.88646,53187600,53187600,1442121.38877215,56.692,1.257
REPUBLIC OF ARGENTINA,BONOS DE CONSOLIDACION SERIE 8,PR15,53811008,B+0%,2022-10-04,ARS,Sovereign,70000000,1.508,1.5075,105525000,105525000,2861190.56979787,27.751,1.81
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,53811008,B+2.5%,2019-03-11,ARS,Sovereign,260742532,1.08,1.08,281601934.56,281601934.56,7635316.74579396,38.961,0.427
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,53811008,8.75%,2024-04-04,USD,Oil&Gas,1507000,1.121,1.1213,1689799.1,62322325.50665,1689799.1,7.904,3.726
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 36 $ ESC.,YCA3O,53811008,B+4.74%,2020-02-10,ARS,Oil&Gas,29755000,0.883,0.88311,26276938.05,26276938.05,712469.342353212,57.054,0.928
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 41 $ ESC,YCA8O,53811008,B+0%,2020-09-24,ARS,Oil&Gas,5803165,1.001,1.00065,5806937.05725,5806937.05725,157448.505544785,84.222,0.513
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 7,PNC7O,53811008,B+0%,2020-11-20,ARS,Oil&Gas,42344309,0.819,0.81918,34687611.04662,34687611.04662,940515.191806732,60.401,1.138
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 8 $ CG.,PNC8O,53811008,B+0%,2020-12-10,ARS,Oil&Gas,13763244,0.88,0.87973,12107938.64412,12107938.64412,328293.009886257,52.153,1.249
REPUBLIC OF ARGENTINA,BONO NACION ARG $ BADLAR+325,AM20P,53811008,B+3.25%,2020-03-01,ARS,Sovereign,199500000,0.938,0.93789,187109055,187109055,5073249.59668126,64.579,0.797
GPAT CIA FINANCIERA SA,ON GPAT CIA. FIN. S.23 Cl. B,GPOBO,53811008,B+3.5%,2019-06-14,ARS,Diversified Finan Serv,15000000,0.986,0.98588,14788200,14788200,400965.253582419,52.506,0.565
BANCO ITAU ARGENTINA,O.N. BCO. ITAU CL19 V 13/07/19,BTCKO,53811008,B+3.39%,2019-07-13,ARS,Banks,15888888,1.053,1.0531,16732587.9528,16732587.9528,453685.125409758,39.907,0.656
BONCER,BONO TES NAC 2.5% $ 22/07/21,TC21P,53811008,2.5%,2021-07-22,ARS,Sovereign,261600000,1.38,1.38,361008000,361008000,9788322.0584846,0,2.807
TARJETAS CUYANAS SA,ON T.CUYANAS C25 S2 V 26/07/20,51685,53811008,B+0.0394%,2020-07-26,ARS,Diversified Finan Serv,21900000,0.9,0.89957,19700583,19700583,534158.941474723,49.759,1.163
BANCO FRANCES DEL RIO,ON BBVA BCO.FRANCES C 20,BFCLO,53811008,B+3.23%,2019-08-08,ARS,Banks,11546000,0.934,0.93442,10788813.32,10788813.32,292526.424359096,52.684,0.677
ROMBO CIA FINANCIERA SA,ON ROMBO CIA.FIN. S.33,RBSZO,53811008,26.208%,2019-08-19,ARS,Auto Manufacturers,10821428,1.016,1.01629,10997709.06212,10997709.06212,298190.395242059,32.974,0.624
TOYOTA CIA FINANC AR,ON TOYOTA CIA.FIN.20 28/9/18 $,TYCLO,53811008,25.933%,2018-09-28,ARS,Auto Manufacturers,8500000,0.356,0.35627,3028295,3028295,82108.7808250749,0,0.077
TARJETAS CUYANAS SA,ON TARJETAS CUYANAS 26 S2 V24/,TCR2O,53811008,B+4%,2020-10-24,ARS,Diversified Finan Serv,35023666,0.898,0.89814,31456155.38124,31456155.38124,852897.940193322,58.623,1.101
ROMBO CIA FINANCIERA SA,ON ROMBO CIA.FIN. S.35 V.28/10,51938,53811008,B+4%,2019-10-28,ARS,Auto Manufacturers,26277777,1.14,1.14019,29961658.55763,29961658.55763,812376.355561189,38.083,0.725
GPAT CIA FINANCIERA SA,ON GPAT CIA.FIN.26 CL.B. V.24/,GPRBO,53811008,B+3.44%,2019-01-24,ARS,Diversified Finan Serv,5285714,1.044,1.0444,5520399.7016,5520399.7016,149679.370459444,36.53,0.338
ROMBO CIA FINANCIERA SA,ON ROMBO CIA.FIN. S.36 V.30/01,RB36O,53811008,26.181%,2019-01-30,ARS,Auto Manufacturers,4900000,1.012,1.01163,4956987,4956987,134403.074712254,41.099,0.258
BANCO HIPOTECARIO SA,ON BCO.HIPOTECARIO CL. 42 V.20,52259,53811008,B+3.2%,2020-02-20,ARS,Banks,51500000,0.894,0.89444,46063660,46063660,1248963.84366146,53.435,0.966
BANCO SANTANDER RIO SA,ON BCO.SANTANDER RIO CL.17 V.2,52261,53811008,B+2.77%,2020-02-22,ARS,Banks,50000000,0.881,0.88101,44050500,44050500,1194379.29585293,53.603,0.974
BANCO SANTANDER RIO SA,ON BCO.SANTANDER RIO CL.19 V.3,BNCKO,53811008,B+2.47%,2020-03-30,ARS,Banks,81000000,1.042,1.04166,84374460,84374460,2287717.69044101,46.712,0.96
REPUBLIC OF ARGENTINA,BONO NACION ARG. $ BADLAR+200,AA22P,53811008,B+2%,2022-04-03,ARS,Sovereign,362000000,0.945,0.945,342090000,342090000,9275381.9665686,50.324,1.494
REPUBLIC OF ARGENTINA,BONO REP. ARGENTINA USD 5.625%,A2E2,53811008,5.625%,2022-01-26,USD,Sovereign,3400000,0.868,0.86839,2952526,108893587.669,2952526,10.508,2.95
REPUBLIC OF ARGENTINA,BONO REP. ARGENTINA USD 6.875%,AA21,53811008,6.875%,2021-04-22,USD,Sovereign,3000000,0.798,0.7981,2394300,88305375.45,2394300,17.988,2.167
ARCOR SAIC,O.N. ARCOR S.A.I.C. CL.11 V.03,RCCBO,53811008,B+2.99%,2021-05-03,ARS,Food,88735000,0.862,0.86228,76514415.8,76514415.8,2074601.51566503,57.894,1.256
BANCO HIPOTECARIO SA,ON BCO.HIPOTECARIO CL.43 V.08/,BH43O,53811008,2.75%,2020-05-08,ARS,Banks,3276500,23.78,23.78044,77916611.66,77916611.66,2112620.4644605,0,1.648
BCO.PATAGONIA SA              ,PF$PAT-271118,PF$PAT-271118,100303969,26.9%,2018-11-27,ARS,Banks,5000000,1.204,1.20415,6020750,6020750,163245.800740209,24.304,0.194
BANCO DE GALICIA Y BS AS      ,PF$GAL-171218,PF$GAL-171218,100303969,27.75%,2018-12-17,ARS,Banks,5000000,1.193,1.19311,5965550,5965550,161749.115410165,25.222,0.236
BANCO DE GALICIA Y BS AS      ,PF$GAL-271218,PF$GAL-271218,100303969,27.75%,2018-12-27,ARS,Banks,2700000,1.188,1.18779,3207033,3207033,86955.0587693017,25.259,0.258
BBVA BANCO FRANCES SA         ,PF$FRA-100119,PF$FRA-100119,100303969,27.25%,2019-01-10,ARS,Banks,40710721.55,1.17,1.17022,47640500.572241,47640500.572241,1291718.08555078,25.053,0.289
STANDARD BANK ARGENTINA SA    ,PF$ICB-270219,PF$ICB-270219,100303969,26.25%,2019-02-27,ARS,Banks,15000000,1.132,1.13161,16974150,16974150,460234.806068083,24.561,0.396
BCO.PATAGONIA SA              ,BCO.PATAGONIA SA              ,PF$PAT-130918,100607320,34%,2018-09-13,ARS,Banks,8000000,1.1,1.09967,8797360,8797360,238530.428534631,36,0.026
BCO.PATAGONIA SA              ,BCO.PATAGONIA SA              ,PFUSDPAT-071118,100607320,2.35%,2018-11-07,USD,Banks,900000,1,1.00007,900063,33195673.5345,900063,3.147,0.181
BCO.PATAGONIA SA              ,BCO.PATAGONIA SA              ,PFUSDPAT-100918,100607320,1.9%,2018-09-10,USD,Banks,600000,1,1.00015,600090,22132219.335,600090,5.695,0.026
BCO.PATAGONIA SA              ,BCO.PATAGONIA SA              ,PFUSDPAT-091018,100607320,2.1%,2018-10-09,USD,Banks,600000,1,1.00008,600048,22130670.312,600048,3.261,0.103
BCO.PATAGONIA SA              ,BCO.PATAGONIA SA              ,PFUSDPAT-071118,100607320,2.35%,2018-11-07,USD,Banks,600000,1,1.00007,600042,22130449.023,600042,3.147,0.181
BCO.PATAGONIA SA              ,BCO.PATAGONIA SA              ,PFUSDPAT-291018,100607320,2.6%,2018-10-29,USD,Banks,1412430.68,1,1.00006,1412515.4258408,52095687.6781475,1412515.4258408,2.77,0.157
BBVA BANCO FRANCES SA         ,PF$FRA-121118,PF$FRA-121118,53811008,27%,2018-11-12,ARS,Banks,40000000,1.213,1.21304,48521600,48521600,1315608.09619999,24.328,0.161
BBVA BANCO FRANCES SA         ,PF$FRA-121118,PF$FRA-121118,53811008,27%,2018-11-12,ARS,Banks,40000000,1.213,1.21304,48521600,48521600,1315608.09619999,24.328,0.161
BCO.PATAGONIA SA              ,PF$PAT-281118,PF$PAT-281118,53811008,26.9%,2018-11-28,ARS,Banks,13880000,1.203,1.20341,16703330.8,16703330.8,452891.850927972,24.317,0.196
BCO.SANTANDER RIO SA          ,PF$SAN-140119,PF$SAN-140119,53811008,27%,2019-01-14,ARS,Banks,16100000,1.166,1.16644,18779684,18779684,509189.810609655,24.859,0.298
BCO.SANTANDER RIO SA          ,PF$SAN-210119,PF$SAN-210119,53811008,26.8%,2019-01-21,ARS,Banks,22000000,1.159,1.15933,25505260,25505260,691546.168133075,24.769,0.314
STANDARD BANK ARGENTINA SA    ,PF$ICB-270219,PF$ICB-270219,53811008,26.25%,2019-02-27,ARS,Banks,60000000,1.132,1.13161,67896600,67896600,1840939.22427233,24.561,0.396
BCO.SUPERVIELLE SA            ,PF$SUP-190918,PF$SUP-190918,53811008,25.5%,2018-09-19,ARS,Banks,40000000,1.112,1.11248,44499200,44499200,1206545.28693247,25.58,0.041
BANCO ITAU ARGENTINA SA       ,PF$ITA-190319,PF$ITA-190319,53811008,25.9%,2019-03-19,ARS,Banks,65000000,1.115,1.11495,72471750,72471750,1964989.22223879,24.442,0.44
BCO.PATAGONIA SA              ,PF$PAT-161018,PF$PAT-161018,53811008,26%,2018-10-16,ARS,Banks,120000000,1.095,1.09545,131454000,131454000,3564225.9669482,26.35,0.1
BCO.PATAGONIA SA              ,PF$PAT-110918,PF$PAT-110918,53811008,34%,2018-09-11,ARS,Banks,52400000,1.102,1.10153,57720172,57720172,1565016.93260849,35.963,0.022
BCO.PATAGONIA SA              ,PF$PAT-240918,PF$PAT-240918,53811008,33%,2018-09-24,ARS,Banks,50000000,1.09,1.08951,54475500,54475500,1477041.3350867,34.96,0.049
BCO.PATAGONIA SA              ,PF$PAT-060918,PF$PAT-060918,53811008,35%,2018-09-06,ARS,Banks,10151534.56,1.108,1.10836,11251554.8449216,11251554.8449216,305073.135445185,37.023,0.012
BBVA BANCO FRANCES SA         ,PF$FRA-031218,PF$FRA-031218,53811008,34.6%,2018-12-03,ARS,Banks,60000000,1.082,1.08152,64891200,64891200,1759451.21537898,35.992,0.189
BANCO DE GALICIA Y BS AS      ,BANCO DE GALICIA Y BS AS      ,PF$GAL-220119,53811008,39.5%,2019-01-22,ARS,Banks,60000000,1.039,1.03896,62337600,62337600,1690213.25054567,42.509,0.277
BANCO DE GALICIA Y BS AS      ,BANCO DE GALICIA Y BS AS      ,PF$GAL-280119,53811008,40%,2019-01-28,ARS,Banks,50000000,1.035,1.03507,51753500,51753500,1403237.39544216,43.14,0.287
BANCO DE GALICIA Y BS AS      ,BANCO DE GALICIA Y BS AS      ,PF$GAL-240918,53811008,37.5%,2018-09-24,ARS,Banks,60000000,1.008,1.00822,60493200,60493200,1640204.43853965,44.395,0.046
STANDARD BANK ARGENTINA SA    ,STANDARD BANK ARGENTINA SA    ,PF$ICB-260918,53811008,36%,2018-09-26,ARS,Banks,12319269.77,1.004,1.00395,12367930.8855915,12367930.8855915,335342.404337988,42.471,0.05
Lombard Renta en Pesos Fondo C,Lombard Renta en Pesos,Lombard Renta en Pesos,100303969,,,ARS,Government/Corporate,42748860.14,8.907005,,380764311.011281,380764311.011281,10323992.0017158,,
Lombard Renta Fija en Dolares,Lombard Renta Fija en Dolares,Lombard Renta Fija en Dolares,100303969,,,USD,Unclassified,1000949,1.014537,,1015499.795613,37453155.7119009,1015499.795613,,
Goal Capital Plus Fondo Comun,Goal Capital Plus Pesos B,Goal Capital Plus Pesos B,100303969,,,ARS,Govt/Corp Short Term,6008.52,6.553298,,39375.62209896,39375.62209896,1067.62528907338,,
Lombard Capital Fondo Comun de,Fondo Lombard Capital,Fondo Lombard Capital,100303969,,,ARS,Govt/Corp Short Term,0,6.840048,,0,0,0,,
Fondo Comun de Inversion Fima,Fima Ahorro Plus C $,Fima Ahorro Plus C $,100303969,,,ARS,Geo Focus-Debt,7826,4.253489,,33287.804914,33287.804914,902.561037756057,,
HF Pesos Plus Fondo Comun de I,HF Pesos Plus Clase I,HF Pesos Plus Clase I,100303969,,,ARS,Govt/Corp Intermediate,0,7.847981,,0,0,0,,
Optimum Renta Fija Argentina F,OPTIMUM RENTA FIJA ARGENTINA Unico,OPTIMUM RENTA FIJA ARGENTINA Unico,100303969,,,ARS,Govt/Corp Intermediate,3222.99529999999,0,,0,0,0,,
Schroder Infraestructura Fondo,Schroder Infraestructura - Clase B,Schroder Infraestructura - Clase B,100303969,,,ARS,Geo Focused-Asset Alloc,7599584,0.828344,,6295069.808896,6295069.808896,170683.670916205,,
Fondo Comun de Inversion Gainv,Gainvest Infraestructura - Clase A,Gainvest Infraestructura - Clase A,100303969,,,ARS,Flexible Portfolio,19203.01,3.817949,,73316.11282649,73316.11282649,1987.88316165259,,
Gainvest PYMEs Fondo Comun de,Gainvest PYMES - Clase B,Gainvest PYMES - Clase B,100303969,,,ARS,Flexible Portfolio,14321960.51,3.525286,,50489006.8784559,50489006.8784559,1368952.10006252,,
Premier Abierto Pymes Fondo Co,Premier Abierto Pymes - Clase A,Premier Abierto Pymes - Clase A,100303969,,,ARS,Flexible Portfolio,7424458.87,3.742891,,27788940.2843932,27788940.2843932,753465.566324395,,
Schroder Desarrollo y Crecimie,Schroder Desarrollo y Crecimiento Clase A,Schroder Desarrollo y Crecimiento Clase A,100303969,,,ARS,Geo Focused-Asset Alloc,187973545.4,0.414303,,77878003.7798562,77878003.7798562,2111573.65562291,,
Lombard Renta en Pesos Fondo C,Lombard Renta en Pesos,Lombard Renta en Pesos,53811008,,,ARS,Government/Corporate,42748860.14,8.907005,,380764311.011281,380764311.011281,10323992.0017158,,
Lombard Renta Fija en Dolares,Lombard Renta Fija en Dolares,Lombard Renta Fija en Dolares,53811008,,,USD,Unclassified,1000949,1.014537,,1015499.795613,37453155.7119009,1015499.795613,,
Goal Capital Plus Fondo Comun,Goal Capital Plus Pesos B,Goal Capital Plus Pesos B,53811008,,,ARS,Govt/Corp Short Term,6008.52,6.553298,,39375.62209896,39375.62209896,1067.62528907338,,
Lombard Capital Fondo Comun de,Fondo Lombard Capital,Fondo Lombard Capital,53811008,,,ARS,Govt/Corp Short Term,0,6.840048,,0,0,0,,
Fondo Comun de Inversion Fima,Fima Ahorro Plus C $,Fima Ahorro Plus C $,53811008,,,ARS,Geo Focus-Debt,7826,4.253489,,33287.804914,33287.804914,902.561037756057,,
HF Pesos Plus Fondo Comun de I,HF Pesos Plus Clase I,HF Pesos Plus Clase I,53811008,,,ARS,Govt/Corp Intermediate,0,7.847981,,0,0,0,,
Optimum Renta Fija Argentina F,OPTIMUM RENTA FIJA ARGENTINA Unico,OPTIMUM RENTA FIJA ARGENTINA Unico,53811008,,,ARS,Govt/Corp Intermediate,3222.99529999999,0,,0,0,0,,
Schroder Infraestructura Fondo,Schroder Infraestructura - Clase B,Schroder Infraestructura - Clase B,53811008,,,ARS,Geo Focused-Asset Alloc,7599584,0.828344,,6295069.808896,6295069.808896,170683.670916205,,
Fondo Comun de Inversion Gainv,Gainvest Infraestructura - Clase A,Gainvest Infraestructura - Clase A,53811008,,,ARS,Flexible Portfolio,19203.01,3.817949,,73316.11282649,73316.11282649,1987.88316165259,,
Gainvest PYMEs Fondo Comun de,Gainvest PYMES - Clase B,Gainvest PYMES - Clase B,53811008,,,ARS,Flexible Portfolio,14321960.51,3.525286,,50489006.8784559,50489006.8784559,1368952.10006252,,
Premier Abierto Pymes Fondo Co,Premier Abierto Pymes - Clase A,Premier Abierto Pymes - Clase A,53811008,,,ARS,Flexible Portfolio,7424458.87,3.742891,,27788940.2843932,27788940.2843932,753465.566324395,,
Schroder Desarrollo y Crecimie,Schroder Desarrollo y Crecimiento Clase A,Schroder Desarrollo y Crecimiento Clase A,53811008,,,ARS,Geo Focused-Asset Alloc,187973545.4,0.414303,,77878003.7798562,77878003.7798562,2111573.65562291,,
Lombard Renta en Pesos Fondo C,Lombard Renta en Pesos,Lombard Renta en Pesos,100607320,,,ARS,Government/Corporate,42748860.14,8.907005,,380764311.011281,380764311.011281,10323992.0017158,,
Lombard Renta Fija en Dolares,Lombard Renta Fija en Dolares,Lombard Renta Fija en Dolares,100607320,,,USD,Unclassified,1000949,1.014537,,1015499.795613,37453155.7119009,1015499.795613,,
Goal Capital Plus Fondo Comun,Goal Capital Plus Pesos B,Goal Capital Plus Pesos B,100607320,,,ARS,Govt/Corp Short Term,6008.52,6.553298,,39375.62209896,39375.62209896,1067.62528907338,,
Lombard Capital Fondo Comun de,Fondo Lombard Capital,Fondo Lombard Capital,100607320,,,ARS,Govt/Corp Short Term,0,6.840048,,0,0,0,,
Fondo Comun de Inversion Fima,Fima Ahorro Plus C $,Fima Ahorro Plus C $,100607320,,,ARS,Geo Focus-Debt,7826,4.253489,,33287.804914,33287.804914,902.561037756057,,
HF Pesos Plus Fondo Comun de I,HF Pesos Plus Clase I,HF Pesos Plus Clase I,100607320,,,ARS,Govt/Corp Intermediate,0,7.847981,,0,0,0,,
Optimum Renta Fija Argentina F,OPTIMUM RENTA FIJA ARGENTINA Unico,OPTIMUM RENTA FIJA ARGENTINA Unico,100607320,,,ARS,Govt/Corp Intermediate,3222.99529999999,0,,0,0,0,,
Schroder Infraestructura Fondo,Schroder Infraestructura - Clase B,Schroder Infraestructura - Clase B,100607320,,,ARS,Geo Focused-Asset Alloc,7599584,0.828344,,6295069.808896,6295069.808896,170683.670916205,,
Fondo Comun de Inversion Gainv,Gainvest Infraestructura - Clase A,Gainvest Infraestructura - Clase A,100607320,,,ARS,Flexible Portfolio,19203.01,3.817949,,73316.11282649,73316.11282649,1987.88316165259,,
Gainvest PYMEs Fondo Comun de,Gainvest PYMES - Clase B,Gainvest PYMES - Clase B,100607320,,,ARS,Flexible Portfolio,14321960.51,3.525286,,50489006.8784559,50489006.8784559,1368952.10006252,,
Premier Abierto Pymes Fondo Co,Premier Abierto Pymes - Clase A,Premier Abierto Pymes - Clase A,100607320,,,ARS,Flexible Portfolio,7424458.87,3.742891,,27788940.2843932,27788940.2843932,753465.566324395,,
Schroder Desarrollo y Crecimie,Schroder Desarrollo y Crecimiento Clase A,Schroder Desarrollo y Crecimiento Clase A,100607320,,,ARS,Geo Focused-Asset Alloc,187973545.4,0.414303,,77878003.7798562,77878003.7798562,2111573.65562291,,
